"","Age","Gender","OwnHome","Married","Location","Salary","Children","History","Catalogs","AmountSpent"
"187",1,1,"Own",2,"Close",48700,1,NA,12,1457
"188",1,1,"Rent",2,"Far",0,3,"Low",6,292
"189",3,1,"Rent",1,"Close",40000,0,NA,6,613
"190",1,1,"Rent",1,"Close",118300,1,NA,18,2681
"191",3,1,"Own",2,"Close",27100,2,"Low",24,437
"192",1,1,"Rent",1,"Close",91000,2,"Medium",6,708
"193",1,1,"Own",1,"Close",35300,0,"Medium",24,1093
"194",3,1,"Rent",2,"Far",10200,2,"Low",18,213
"195",3,1,"Rent",2,"Close",12500,1,"Low",6,202
"196",2,1,"Own",2,"Close",64600,0,NA,6,1298
"197",1,2,"Own",1,"Far",113800,0,NA,12,3273
"198",1,2,"Own",1,"Far",113400,3,"High",18,1790
"199",3,1,"Rent",2,"Close",16900,1,"Low",6,247
"200",3,1,"Rent",2,"Close",13600,1,"Low",6,183
"201",1,2,"Own",1,"Far",100100,1,"High",24,3491
"202",2,1,"Own",1,"Far",80000,0,"High",6,1985
"203",1,2,"Own",1,"Close",83900,0,"High",24,1721
"204",1,2,"Own",1,"Close",77000,0,"High",12,2104
"205",1,1,"Rent",1,"Close",72900,3,"Low",6,252
"206",3,2,"Rent",1,"Close",80700,3,"Low",6,202
"207",3,1,"Rent",1,"Close",40900,1,"Medium",18,962
"208",3,1,"Rent",2,"Close",26700,1,NA,12,459
"209",1,2,"Own",1,"Close",54700,0,"Medium",18,848
"210",2,1,"Rent",1,"Close",23600,1,"Low",6,161
"211",1,2,"Rent",2,"Far",56900,0,"High",24,1857
"212",1,2,"Own",2,"Far",68700,1,NA,24,1699
"213",3,1,"Rent",2,"Close",19300,1,"Low",24,308
"214",3,2,"Rent",1,"Far",20200,1,"Low",24,500
"215",1,1,"Rent",1,"Far",61500,3,"Medium",24,1162
"216",1,1,"Own",1,"Far",101700,1,NA,24,2551
"217",1,1,"Rent",1,"Far",120800,1,"High",24,5830
"218",3,1,"Rent",2,"Far",17300,1,"Low",18,381
"219",3,1,"Rent",1,"Close",42300,0,NA,6,856
"220",1,2,"Rent",2,"Close",53300,0,"Medium",18,1720
"221",1,1,"Rent",2,"Close",42800,0,"Medium",12,759
"222",1,2,"Own",1,"Close",98400,0,"High",18,3305
"223",1,1,"Own",2,"Close",51200,0,"Medium",18,1257
"224",2,2,"Own",2,"Close",62200,0,NA,12,1583
"225",1,2,"Own",1,"Close",109200,3,"Low",24,1102
"226",3,1,"Rent",2,"Close",11400,2,NA,6,NA
"227",3,1,"Rent",2,"Close",14000,0,"Low",12,229
"228",2,1,"Rent",1,"Close",97000,0,NA,24,2599
"229",3,1,"Own",2,"Far",29600,3,NA,12,774
"230",2,2,"Own",1,"Close",71200,1,"Medium",12,638
"231",2,1,"Rent",2,"Far",15000,0,"Low",12,378
"232",1,2,"Rent",1,"Far",64000,1,NA,6,1552
"233",2,2,"Own",1,"Far",33000,0,"Medium",12,979
"234",2,1,"Own",1,"Close",74400,0,"High",18,2479
"235",3,2,"Rent",2,"Far",20300,2,"Low",24,450
"236",1,2,"Rent",1,"Close",68700,0,"High",24,2763
"237",3,2,"Rent",1,"Far",53600,3,"Medium",24,1560
"238",2,1,"Own",2,"Close",33200,0,"Medium",24,1037
"239",3,1,"Own",1,"Far",70900,0,NA,6,690
"240",3,1,"Rent",2,"Close",23200,3,NA,24,770
"241",3,2,"Own",2,"Close",41400,0,"Medium",18,643
"242",3,1,"Rent",1,"Close",63200,0,"High",24,1512
"243",2,2,"Own",1,"Close",107400,0,"High",12,1485
"244",3,2,"Rent",2,"Far",13900,0,NA,24,570
"245",1,1,"Rent",1,"Close",79900,1,"Medium",18,1165
"246",1,2,"Own",1,"Far",120000,3,"High",18,1926
"247",2,2,"Rent",1,"Far",66300,0,NA,18,2243
"248",1,1,"Own",2,"Close",54400,3,"Low",18,342
"249",1,2,"Own",1,"Close",84200,0,"High",24,1654
"250",3,1,"Rent",1,"Close",13800,0,"Low",18,363
"251",3,1,"Rent",2,"Far",14500,1,"Low",6,222
"252",3,2,"Rent",2,"Close",21300,0,"Low",24,677
"253",2,2,"Rent",2,"Close",29000,0,"Low",6,482
"254",2,1,"Rent",2,"Close",14600,1,"Low",24,385
"255",2,2,"Own",2,"Close",65300,0,"High",18,1443
"256",1,1,"Own",1,"Close",100800,1,"High",24,1789
"257",3,1,"Rent",2,"Far",19800,1,"Low",24,991
"258",1,2,"Own",2,"Close",56700,2,"Low",18,536
"259",2,2,"Rent",1,"Close",90200,0,"High",18,2183
"260",3,2,"Rent",2,"Close",26100,1,NA,6,494
"261",3,1,"Rent",2,"Close",15900,0,"Low",18,503
"262",3,1,"Rent",2,"Close",12700,3,"Low",12,87
"263",1,2,"Rent",2,"Close",43200,0,NA,24,917
"264",1,1,"Rent",1,"Close",114100,1,NA,24,1976
"265",1,2,"Own",1,"Close",96100,3,"Low",12,316
"266",1,2,"Own",1,"Close",97200,0,NA,12,1634
"267",1,2,"Own",1,"Far",82400,2,"High",24,2035
"268",2,2,"Own",2,"Far",62000,0,"High",24,3293
"269",3,1,"Rent",2,"Close",13400,1,"Low",12,143
"270",1,2,"Own",1,"Close",108200,3,"Low",12,635
"271",3,1,"Own",1,"Close",76200,0,"High",12,979
"272",1,2,"Rent",1,"Close",81800,1,"High",18,1838
"273",3,1,"Rent",2,"Far",12000,0,"Low",6,264
"274",1,2,"Own",1,"Close",76100,0,NA,6,719
"275",1,2,"Own",1,"Close",82100,1,"High",18,1308
"276",2,1,"Own",1,"Close",103300,0,"High",24,3378
"277",3,2,"Rent",2,"Close",14200,1,NA,24,400
"278",1,1,"Own",2,"Far",47500,0,"High",6,847
"279",3,1,"Rent",2,"Close",31300,1,"Low",6,357
"280",3,1,"Rent",1,"Far",32700,1,NA,18,1276
"281",1,2,"Own",1,"Close",72200,0,"High",24,2492
"282",1,1,"Own",1,"Close",107600,2,"Medium",12,1512
"283",1,2,"Own",1,"Close",109900,2,"Medium",12,870
"284",1,1,"Own",1,"Close",65400,2,"Medium",24,938
"285",2,1,"Own",2,"Close",43300,0,NA,12,1584
"286",2,1,"Own",2,"Close",51900,0,"Medium",12,1148
"287",1,1,"Own",1,"Far",80600,0,"High",24,2840
"288",1,1,"Rent",2,"Close",42700,0,"Medium",12,827
"289",3,2,"Rent",2,"Far",19000,0,NA,12,428
"290",3,1,"Rent",2,"Close",14500,1,"Low",6,183
"291",1,1,"Own",1,"Close",68200,1,NA,6,818
"292",3,2,"Rent",1,"Close",36700,0,"Medium",12,731
"293",2,2,"Own",1,"Far",54600,0,"High",24,2163
"294",1,2,"Own",1,"Close",65900,1,"Medium",12,1081
"295",3,2,"Own",2,"Far",39600,0,NA,12,1085
"296",3,2,"Rent",1,"Far",67300,3,NA,6,1212
"297",1,2,"Own",2,"Close",59700,1,NA,18,1422
"298",1,1,"Own",1,"Far",102800,2,"High",18,2238
"299",1,1,"Rent",2,"Close",34700,0,NA,18,1615
"300",1,2,"Own",2,"Close",50600,3,NA,6,713
"301",1,2,"Rent",1,"Close",106700,2,"Medium",6,607
"302",1,2,"Rent",2,"Close",53900,1,"Medium",6,735
"303",3,1,"Rent",1,"Close",25500,2,"Low",6,139
"304",3,2,"Rent",1,"Far",46300,1,"Medium",18,1357
"305",2,2,"Own",1,"Close",55500,0,"Medium",18,858
"306",3,1,"Own",2,"Close",27800,3,NA,12,408
"307",1,2,"Own",1,"Close",118600,1,NA,12,1553
"308",1,1,"Own",1,"Close",130700,3,NA,6,2070
"309",2,2,"Rent",2,"Close",42800,0,"Medium",12,922
"310",1,1,"Own",1,"Far",118300,1,"High",12,2502
"311",3,1,"Rent",2,"Far",25600,2,NA,18,426
"312",1,2,"Rent",1,"Close",63500,2,NA,24,2321
"313",2,1,"Own",2,"Close",30900,0,"Medium",18,862
"314",1,2,"Own",2,"Close",55900,1,NA,24,2555
"315",1,2,"Own",2,"Far",53900,0,NA,12,1186
"316",2,2,"Own",1,"Close",84300,0,"High",24,2842
"317",2,2,"Own",2,"Close",53400,1,"Medium",12,886
"318",1,2,"Own",1,"Close",96900,1,"High",12,1420
"319",1,2,"Rent",2,"Far",55800,1,NA,6,821
"320",3,1,"Rent",1,"Close",25900,1,"Low",6,242
"321",3,1,"Rent",2,"Close",22000,1,"Low",12,472
"322",1,1,"Rent",1,"Close",96700,2,"Medium",12,1231
"323",1,1,"Rent",2,"Close",40200,1,NA,12,881
"324",2,2,"Own",1,"Close",26800,0,"Low",12,435
"325",3,1,"Rent",2,"Close",16700,2,"Low",12,108
"326",3,1,"Rent",1,"Close",40900,2,"Low",18,576
"327",3,2,"Rent",1,"Far",41500,3,NA,24,1314
"328",3,2,"Rent",2,"Close",20900,0,NA,6,296
"329",3,1,"Rent",1,"Close",69700,2,"Medium",6,584
"330",1,2,"Rent",2,"Close",61800,0,"High",24,1156
"331",1,2,"Own",1,"Close",102500,1,"High",24,2464
"332",1,1,"Own",1,"Close",48900,3,NA,18,915
"333",1,2,"Own",2,"Close",60300,0,NA,24,2091
"334",3,2,"Rent",1,"Far",41600,0,"High",24,1690
"335",1,2,"Own",2,"Close",73700,1,"Medium",12,1274
"336",3,1,"Rent",2,"Close",27000,1,NA,24,1012
"337",1,1,"Rent",2,"Close",43700,0,"Medium",12,950
"338",3,2,"Rent",2,"Close",10200,2,NA,12,333
"339",1,1,"Own",1,"Close",63300,2,"Medium",24,679
"340",3,1,"Own",2,"Far",33200,2,"Medium",12,607
"341",2,1,"Own",1,"Far",78800,0,"High",18,3398
"342",1,2,"Own",1,"Close",82500,0,"High",6,859
"343",1,2,"Own",2,"Far",80800,2,"High",18,2444
"344",1,2,"Own",1,"Close",88100,2,"Medium",24,1078
"345",1,2,"Rent",1,"Far",124800,3,"High",18,2537
"346",3,2,"Own",2,"Close",31900,0,"Medium",6,616
"347",1,1,"Own",2,"Close",53300,3,NA,6,508
"348",2,2,"Own",1,"Far",15400,0,"Low",6,297
"349",1,2,"Own",1,"Close",70200,0,NA,6,1583
"350",3,1,"Rent",2,"Close",23000,3,"Low",6,79
"351",1,1,"Own",1,"Close",82400,2,"Medium",18,657
"352",1,1,"Own",1,"Close",97900,0,"High",24,2149
"353",2,1,"Rent",1,"Far",88400,0,"High",18,3632
"354",1,1,"Own",1,"Close",86900,0,"High",18,2230
"355",1,1,"Own",2,"Close",45100,1,"Medium",12,448
"356",1,2,"Rent",2,"Close",41800,3,"Low",24,301
"357",2,2,"Own",1,"Close",74800,0,"High",18,1968
"358",1,1,"Rent",1,"Close",73000,1,"Medium",6,490
"359",1,2,"Own",1,"Close",118500,1,"High",24,3063
"360",1,2,"Own",2,"Close",65300,3,"Low",6,193
"361",1,1,"Rent",1,"Close",66300,2,"Medium",12,544
"362",1,2,"Own",1,"Far",103900,1,"High",24,2666
"363",1,1,"Own",1,"Close",71900,0,"High",18,1846
"364",1,2,"Own",1,"Far",86100,1,NA,12,1255
"365",1,2,"Own",1,"Close",96300,1,"High",12,1081
"366",3,1,"Rent",2,"Close",10200,3,NA,6,199
"367",1,2,"Own",1,"Close",96300,2,NA,18,3916
"368",2,1,"Own",2,"Far",24000,1,"Low",6,357
"369",1,1,"Rent",1,"Close",46700,0,"Medium",24,983
"370",1,1,"Rent",2,"Close",53700,2,NA,12,1194
"371",1,2,"Rent",1,"Close",108300,2,NA,12,2224
"372",3,1,"Rent",2,"Close",12100,1,"Low",6,90
"373",3,2,"Rent",1,"Close",36600,0,NA,6,587
"374",2,2,"Own",1,"Close",66300,0,"High",12,1088
"375",3,1,"Own",2,"Close",33400,1,NA,6,617
"376",1,2,"Own",1,"Far",70000,1,NA,6,1227
"377",1,1,"Own",2,"Close",47900,1,"Medium",24,662
"378",1,1,"Rent",1,"Close",40500,2,"Low",18,622
"379",2,2,"Own",2,"Close",69100,0,"High",12,1477
"380",3,1,"Rent",2,"Close",13300,1,NA,6,236
"381",1,1,"Rent",1,"Far",75800,1,"High",12,1830
"382",1,1,"Rent",1,"Close",48600,0,"Medium",24,1583
"383",2,1,"Own",2,"Close",39600,0,"Medium",12,610
"384",3,1,"Rent",2,"Close",11700,0,"Low",12,193
"385",3,2,"Rent",1,"Close",52600,1,"Medium",12,1052
"386",3,2,"Rent",2,"Close",14600,3,NA,6,0
"387",2,2,"Own",1,"Close",123000,0,"High",24,3671
"388",2,1,"Rent",1,"Far",64600,0,"High",18,2206
"389",1,1,"Own",2,"Far",34600,2,"Medium",18,748
"390",1,2,"Own",1,"Close",74500,0,"High",6,1481
"391",2,2,"Own",1,"Close",56600,0,NA,24,1607
"392",2,1,"Rent",2,"Close",37000,1,NA,6,632
"393",3,1,"Rent",2,"Far",18400,1,"Low",6,303
"394",3,2,"Rent",2,"Close",25000,0,"Low",6,264
"395",1,2,"Own",1,"Far",61400,1,"High",24,1575
"396",1,2,"Own",1,"Close",76400,2,"Medium",18,881
"397",3,2,"Own",1,"Close",55100,0,"Medium",18,1439
"398",2,1,"Own",1,"Far",22800,0,NA,12,452
"399",2,1,"Own",1,"Close",10100,1,"Low",6,93
"400",3,2,"Rent",2,"Close",17800,0,"Low",18,292
"401",1,1,"Own",1,"Close",59100,1,NA,6,1426
"402",3,1,"Rent",2,"Far",19700,2,"Low",6,330
"403",1,2,"Own",1,"Far",73800,0,"High",24,3120
"404",1,2,"Own",1,"Far",113300,1,"High",18,5151
"405",1,2,"Own",1,"Far",118400,2,NA,12,3941
"406",1,2,"Own",1,"Close",92300,1,NA,24,2141
"407",3,2,"Rent",2,"Close",11200,0,NA,6,106
"408",3,1,"Rent",1,"Far",30100,0,"Medium",12,530
"409",1,1,"Own",2,"Close",43500,1,"Medium",12,500
"410",1,2,"Own",1,"Close",97500,0,"High",18,2837
"411",2,2,"Own",1,"Close",54600,0,"Medium",24,1246
"412",1,2,"Rent",2,"Far",42500,1,NA,6,798
"413",1,2,"Own",2,"Close",82800,0,NA,6,1544
"414",2,2,"Own",1,"Far",62300,0,"High",24,2644
"415",3,2,"Rent",2,"Far",21900,2,NA,6,192
"416",1,1,"Rent",2,"Far",35600,3,"Low",18,865
"417",1,2,"Own",1,"Close",96900,0,"High",6,1159
"418",3,1,"Rent",1,"Close",36900,1,NA,18,1480
"419",1,1,"Rent",1,"Close",93500,1,"High",18,1426
"420",1,2,"Own",1,"Close",97300,1,NA,12,3048
"421",3,2,"Rent",2,"Close",21900,0,"Low",12,276
"422",1,2,"Rent",2,"Close",63000,0,"High",24,1910
"423",3,1,"Rent",2,"Close",11500,3,NA,6,157
"424",1,2,"Own",2,"Close",44600,2,"Low",6,236
"425",3,1,"Rent",2,"Close",21900,1,NA,12,576
"426",1,2,"Rent",2,"Far",45100,1,"Medium",12,794
"427",2,1,"Own",1,"Close",74900,0,"High",12,1474
"428",3,2,"Rent",2,"Close",14200,0,"Low",6,250
"429",3,1,"Rent",2,"Far",23200,2,NA,24,788
"430",2,2,"Own",1,"Close",73300,0,NA,12,1694
"431",2,2,"Own",1,"Far",41300,0,"High",24,1985
"432",2,1,"Own",2,"Far",32700,0,"Medium",24,1252
"433",2,1,"Own",2,"Close",35200,0,NA,12,827
"434",3,1,"Rent",2,"Close",13100,0,NA,18,314
"435",1,2,"Own",1,"Close",97400,1,"High",6,880
"436",3,1,"Rent",2,"Far",23100,2,"Low",6,466
"437",1,2,"Own",2,"Close",49200,3,"Low",12,210
"438",1,2,"Own",2,"Far",45000,1,NA,18,902
"439",1,2,"Own",1,"Close",87200,0,"High",18,1274
"440",1,2,"Own",2,"Close",49900,1,NA,24,1631
"441",1,2,"Own",1,"Close",66900,0,"High",12,1220
"442",1,1,"Own",2,"Close",47600,1,"Medium",12,801
"443",1,1,"Own",2,"Close",47900,0,NA,12,1090
"444",1,2,"Own",2,"Close",59400,0,"Medium",18,1699
"445",1,1,"Rent",2,"Close",32700,2,"Low",6,273
"446",1,2,"Rent",2,"Close",34200,1,"Low",18,523
"447",1,2,"Own",1,"Close",96600,0,NA,12,1437
"448",1,1,"Own",1,"Close",126300,1,"High",6,1888
"449",3,2,"Rent",2,"Close",31600,1,NA,12,476
"450",1,1,"Own",1,"Far",108100,3,"High",18,2632
"451",1,1,"Rent",2,"Close",43300,3,"Low",24,326
"452",2,1,"Rent",2,"Far",17900,0,"Low",6,446
"453",1,2,"Own",2,"Far",50100,1,"High",18,1071
"454",2,1,"Own",1,"Close",74700,0,"High",12,1699
"455",2,2,"Rent",1,"Close",60000,0,"Medium",6,966
